Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK;SPICEMODEL;SPICEPREFIX;SPICETYPE
2;;LED_ESML0603;LED_SML0603;LED1, LED2;LED;;;;;NONE;D;diode
2;1000;R-EU_R0603;R0603;R1, R2;RESISTOR, European symbol;;;;;;;
4;100n;CC0603;C0603;C1, C2, C4, C5;CAPACITOR, European symbol;;;;;NONE;C;
2;10k;R-EU_R0603;R0603;R11, R12;RESISTOR, European symbol;;;;;;;
2;120;R-EU_R0603;R0603;R7, R8;RESISTOR, European symbol;;;;;;;
2;27;R-EU_R0603;R0603;R3, R4;RESISTOR, European symbol;;;;;;;
2;47p;CC0603;C0603;C3, C6;CAPACITOR, European symbol;;;;;NONE;C;
4;750;R-EU_R0603;R0603;R5, R6, R9, R10;RESISTOR, European symbol;;;;;;;
1;FT230XS;FT230XS;SSOP16;IC3;USB to BASIC UART IC;;;;;;;
1;MICROMATCH-6;MICROMATCH-6;MICROMATCH-6;X2;MicroMaTch 6  7-215464-6 / 0-215464-6;;7-215464-6;3784630;19R8125;;;
1;SN75179BDR;SN75179BDR;SOIC8;U$1;;;;;;;;
1;USB-A;USB-A;MOLEX_480371000;X1;USB type A 'plug';;;;;;;
